Name,mapPosDiff,avgStars,strWarAttacks,warAttackRatio,overall_rank
SkeletonKey57,0.143,2.0,6/7,0.86,1
DARIC,0.571,0.86,2/7,0.29,1
ѕ υ в ι η ツ,0.571,0.86,2/7,0.29,2
hunter,0.714,2.0,7/7,1.0,1
BrownBoi,0.714,1.86,6/7,0.86,2
mhfbiggz,0.857,1.86,5/7,0.71,1
Warlock,1.143,1.57,5/7,0.71,2
armydude65_yt,1.143,0.57,2/7,0.29,3
Clan 2 Cent,1.143,0.29,1/7,0.14,1
⚡️KidZoom⚡️,1.571,2.71,7/7,1.0,2
milon,2.429,1.14,3/7,0.43,1
louis,2.571,1.86,5/7,0.71,3
MM ZAKARIA 88,2.571,1.71,5/7,0.71,4
lucifer,2.714,3.0,7/7,1.0,3
Mr.Witch,3.286,2.14,7/7,1.0,4
Muruga Abiram,3.286,2.14,7/7,1.0,5
Glitter,3.429,2.14,7/7,1.0,6
Gremory,4.0,2.57,6/7,0.86,3
Yuhmum,4.0,1.57,4/7,0.57,1
Tytron,5.143,1.57,6/7,0.86,4
Sallal,5.286,2.71,7/7,1.0,7
WALKER K 391,7.0,3.0,7/7,1.0,8
love,7.286,2.29,7/7,1.0,9
Warlocks Child,8.0,2.29,7/7,1.0,10
⭐Vivek Meena⭐,8.286,2.71,7/7,1.0,11
kathy,8.571,2.57,7/7,1.0,12
op,8.571,1.43,4/7,0.57,2
Rebel,9.714,2.14,5/7,0.71,5
Bobo Camp,10.286,3.0,7/7,1.0,13
chris,10.429,2.29,6/7,0.86,5
player1,11.286,1.14,4/7,0.57,3
me,15.714,2.71,7/7,1.0,14
now,17.286,2.57,7/7,1.0,15
